stock,estimated-var,empirical-var
1,-7.428675402709045,-7.530826337867793
2,-6.284569396754479,-6.073413168811085
3,-5.7828026992478465,-5.832174488753282
4,-5.666158441015283,-5.722647655123482
5,-4.47576793296163,-4.180309061409163
6,-5.138050944104302,-5.029871487915829
7,-5.486826089167079,-5.45721643417416
8,-4.95695379217744,-5.010826688632034
9,-6.851970407080847,-6.847456571094525
10,-3.7435830803425256,-3.6972728766906124
11,-6.498134031440887,-6.454695532208536
12,-3.9225618268735247,-3.897427429127151
13,-4.1954135676186874,-4.129769537923763
14,-4.190761104370573,-4.305951825504438
15,-4.682934225825248,-4.666283939639812
16,-5.529215272259296,-5.569308332969271
17,-5.605358203954959,-5.51506441753354
18,-4.677814444078818,-4.651532994836782
19,-3.8111452157556736,-3.6735517803652917
20,-4.720013850127463,-4.698956254790831
21,-4.781975108595258,-4.85981780119599
22,-4.190083847197488,-4.299304270150516
23,-4.992020634837265,-4.931319588537756
24,-4.45804680235593,-4.426207748611691
25,-4.299022832776141,-4.305951825504448
