stock,estimated-var,empirical-var
1,-7.091160427028253,-7.530826337867793
2,-5.159916435819622,-6.073413168811085
3,-4.907490263875904,-5.832174488753282
4,-4.694770057338778,-5.722647655123482
5,-3.836294391387414,-4.180309061409163
6,-4.351233892680281,-5.029871487915829
7,-4.623830970450369,-5.45721643417416
8,-4.050948278265508,-5.010826688632034
9,-5.610879672466544,-6.847456571094525
10,-3.1185080650004453,-3.6972728766906124
11,-5.489596069489553,-6.454695532208536
12,-3.25818114363756,-3.897427429127151
13,-3.522411683699783,-4.129769537923763
14,-3.4037796851549524,-4.305951825504438
15,-3.9597929773876563,-4.666283939639812
16,-4.605249072497556,-5.569308332969271
17,-4.722131724857258,-5.51506441753354
18,-3.884112450424657,-4.651532994836782
19,-3.3399573821785724,-3.6735517803652917
20,-4.539912021443634,-4.698956254790831
21,-4.049163560512324,-4.85981780119599
22,-3.53324065370047,-4.299304270150516
23,-4.19676363579165,-4.931319588537756
24,-3.7434633512488,-4.426207748611691
25,-3.585716679258929,-4.305951825504448
