stock,estimated-var,empirical-var
1,-9.782951763043776,-7.530826337867793
2,-7.067859432850283,-6.073413168811085
3,-6.850102851219868,-5.832174488753282
4,-5.96729541205353,-5.722647655123482
5,-5.06912716082472,-4.180309061409163
6,-5.666392156798081,-5.029871487915829
7,-6.196640883120758,-5.45721643417416
8,-5.392138079409361,-5.010826688632034
9,-7.493762377131661,-6.847456571094525
10,-3.944629574215328,-3.6972728766906124
11,-7.547561578424907,-6.454695532208536
12,-4.2277503063223,-3.897427429127151
13,-4.491135339236284,-4.129769537923763
14,-4.6033408527605335,-4.305951825504438
15,-5.2399397694527705,-4.666283939639812
16,-5.892615797555077,-5.569308332969271
17,-6.154732571947606,-5.51506441753354
18,-4.752882450643481,-4.651532994836782
19,-4.612004399468338,-3.6735517803652917
20,-6.675561011131807,-4.698956254790831
21,-5.6878241387976525,-4.85981780119599
22,-4.466325338249443,-4.299304270150516
23,-5.3043147362299505,-4.931319588537756
24,-4.764524193915188,-4.426207748611691
25,-4.613493588868075,-4.305951825504448
