stock,estimated-var,empirical-var
1,9.782951763043776,7.460909595509617
2,7.067859432850283,6.033780936051005
3,6.850102851219868,5.821528465112555
4,5.96729541205353,5.680408769439981
5,5.056437904563412,4.167985044887263
6,5.684200504730213,5.013481919836497
7,6.196640883120758,5.45530787598142
8,5.439275086590691,5.002146995149504
9,7.497757606224521,6.846430997702966
10,3.944629574215328,3.6742151568336774
11,7.514158296997166,6.4481797752537755
12,4.237592220009644,3.868649313877931
13,4.524572322209764,4.097423595642371
14,4.567897486487467,4.284171319996634
15,5.3355348743305875,4.653997333864646
16,5.892615797555077,5.550478261298581
17,6.127797445943277,5.482488696110774
18,4.805026416095152,4.6245921619935615
19,4.612004399468338,3.669651086293044
20,6.474592479214206,4.69234157567849
21,5.687911482688871,4.844265009388094
22,4.466325338249443,4.2739064702384955
23,5.336351201930392,4.913907211142552
24,4.764524193915188,4.402327820631034
25,4.621897007883312,4.304999849986014
