stock,estimated-var,empirical-var
1,-7.643208447022708,-7.530826337867793
2,-6.650369886188477,-6.073413168811085
3,-5.533658526133957,-5.832174488753282
4,-5.554561243490858,-5.722647655123482
5,-4.366167473307243,-4.180309061409163
6,-5.128574624890758,-5.029871487915829
7,-5.520724519362912,-5.45721643417416
8,-4.988673135537648,-5.010826688632034
9,-6.724332576618368,-6.847456571094525
10,-3.7657229671293853,-3.6972728766906124
11,-6.950560583341682,-6.454695532208536
12,-3.966218911597457,-3.897427429127151
13,-4.17367599604498,-4.129769537923763
14,-4.231757545786364,-4.305951825504438
15,-4.557115807166266,-4.666283939639812
16,-5.440656853658704,-5.569308332969271
17,-5.701454823375891,-5.51506441753354
18,-4.556397919186154,-4.651532994836782
19,-3.730501359560469,-3.6735517803652917
20,-4.83910740871802,-4.698956254790831
21,-4.9811913847004545,-4.85981780119599
22,-4.173448540883666,-4.299304270150516
23,-4.872213871426905,-4.931319588537756
24,-4.544480238390397,-4.426207748611691
25,-4.203801798831383,-4.305951825504448
