stock,best_loglik_model,best_aic_model,best_bic_model
1,GMM-3c,GMM-3c,GMM-3c
2,GMM-3c,GMM-3c,GMM-3c
3,GMM-3c,NCT,NCT
4,GMM-3c,GMM-3c,NCT
5,GMM-3c,GMM-3c,GMM-3c
6,GMM-3c,GMM-3c,GMM-3c
7,GMM-3c,GMM-3c,GMM-3c
8,GMM-3c,GMM-3c,GMM-3c
9,GMM-3c,GMM-3c,GMM-3c
10,GMM-3c,GMM-3c,GMM-3c
11,GMM-3c,GMM-3c,GMM-3c
12,GMM-3c,GMM-3c,GMM-3c
13,NCT,NCT,NCT
14,GMM-3c,GMM-3c,NCT
15,GMM-3c,GMM-3c,GMM-3c
16,GMM-3c,GMM-3c,NCT
17,GMM-3c,GMM-3c,NCT
18,GMM-3c,GMM-3c,GMM-3c
19,NCT,NCT,NCT
20,NCT,NCT,NCT
21,GMM-3c,GMM-3c,GMM-3c
22,GMM-3c,GMM-3c,GMM-3c
23,GMM-3c,GMM-3c,GMM-3c
24,GMM-3c,GMM-3c,GMM-3c
25,GMM-3c,GMM-3c,GMM-3c
