stock,mu,w_1,w_2,loglik,AIC,BIC
1,-3.0123387845960866e-05,-1.4564310822631656,1.5099378139604656,-18721.304630638115,37448.60926127623,37469.570851738215
2,9.893551380959147e-05,-1.1576186421660044,1.1862190398976546,-16708.377191776926,33422.75438355385,33443.71597401584
3,-3.7721902754328275e-05,-1.0965587246140578,1.1400754412716958,-16501.463499604317,33008.926999208634,33029.88858967062
4,-6.798878878923928e-05,-1.1343088762319693,1.1755911695915426,-16766.809072095282,33539.618144190565,33560.57973465255
5,3.3256477073096345e-06,-0.8945326349761784,0.9215527982469914,-14912.325135691122,29830.650271382245,29851.61186184423
6,-1.9778479121212786e-05,-1.0000009573492157,1.0000033862492346,-15776.546335346407,31559.092670692815,31580.0542611548
7,3.953131901468018e-05,-1.0000079390250995,1.0000267953495907,-16231.883371180342,32469.766742360684,32490.72833282267
8,-2.686496863610704e-05,-0.9407217816361337,0.9641516346474427,-15185.100132550251,30376.200265100502,30397.16185556249
9,0.0001177677837551883,-1.3326946229726218,1.3600504263455524,-17989.823332544132,35985.646665088265,36006.60825555025
10,-5.932900365541568e-06,-0.7266940590665046,0.7803511293619967,-13267.05700795829,26540.11401591658,26561.075606378567
11,0.00017230178491205463,-1.000010960014227,1.0000127062216475,-17189.480291674197,34384.960583348395,34405.92217381038
12,-9.079342802824624e-06,-0.763804753396211,0.7927575782650139,-13521.042441015397,27048.084882030795,27069.04647249278
13,-7.090454145556128e-05,-0.9999789522695066,0.9999855030528013,-14285.162491277693,28576.324982555387,28597.286573017373
14,4.1680062542152224e-05,-0.7982190331922787,0.8254974071243701,-13862.15703316896,27730.31406633792,27751.275656799906
15,8.948059011014252e-05,-0.9186116856016566,0.9544546248861804,-15062.222949718736,30130.445899437473,30151.40748989946
16,-0.00014640314664836674,-1.0650424469111375,1.1527655973320157,-16441.36423307878,32888.72846615756,32909.69005661955
17,8.278191676582648e-05,-1.0000549088386155,1.0001147059725062,-16432.297564973604,32870.59512994721,32891.55672040919
18,-7.476879665169939e-05,-0.9433103383729554,0.985256715632735,-15258.536972278496,30523.073944556993,30544.03553501898
19,-0.01081311636634852,-0.7284388194929204,0.7786673813645861,-13353.104779663849,26712.209559327697,26733.171149789683
20,0.0004040719941436904,-0.9999354923645032,0.9999728562862317,-15039.352341616734,30084.704683233467,30105.666273695453
21,5.102211203392519e-05,-0.9999808888132161,0.999988295821354,-14738.00649580515,29482.0129916103,29502.974582072286
22,8.764219050275804e-05,-0.8474551468160566,0.8691996241681412,-14327.837887367145,28661.67577473429,28682.637365196275
23,-3.0772089610169955e-05,-0.9999986452110882,1.0000093901233988,-15613.62854882174,31233.25709764348,31254.218688105466
24,0.00013151210884240189,-0.9999879032518423,0.9999924178467668,-14649.36020620525,29304.7204124105,29325.682002872487
25,-4.902674750021628e-05,-0.9999792818568608,0.999983602743316,-14506.805160699856,29019.610321399712,29040.571911861698
