stock,mu,w_1,w_2,log-likelihood,AIC,BIC
1,8.74291014124364e-06,-1.43013461874736,1.530838737394,-18591.9775569289,37189.9551138579,37210.9167043199
2,-9.84274103057085e-06,-1.14101753971218,1.18687447493923,-16624.5159608952,33255.0319217904,33275.9935122524
3,2.49389741754129e-06,-1.08890100658861,1.13679206766246,-16396.4413477073,32798.8826954145,32819.8442858765
4,-6.15599760664533e-06,-1.13430740769091,1.17559271667011,-16743.4246445837,33492.8492891674,33513.8108796294
5,5.62712887760531e-06,-0.884877709964606,0.928904530761059,-14851.4307977661,29708.8615955321,29729.8231859941
6,8.09321898784649e-08,-1.01029018910868,1.0469559306848,-15749.1895143628,31504.3790287255,31525.3406191875
7,5.0756784906658e-06,-1.04002032944118,1.12127621651235,-16166.8349416824,32339.6698833647,32360.6314738267
8,3.83311094593433e-06,-0.931368864420848,0.969332737335682,-15169.153362513,30344.306725026,30365.268315488
9,1.18074704805209e-06,-1.29926331811004,1.3843530745388,-17913.9953837933,35833.9907675867,35854.9523580487
10,8.4822338955194e-08,-0.727151345901113,0.777871304019921,-13257.0135273232,26520.0270546463,26540.9886451083
11,3.61867889835693e-06,-1.19362694310823,1.23644675821268,-16963.3097450868,33932.6194901736,33953.5810806356
12,7.93702419935114e-06,-0.75902882632383,0.797478560155902,-13523.0136286427,27052.0272572855,27072.9888477474
13,5.42666666136472e-06,-0.821848092895917,0.874597574746035,-14198.2720378364,28402.5440756727,28423.5056661347
14,1.03614013472532e-05,-0.790867422507383,0.831793979683424,-13848.2887982681,27702.5775965362,27723.5391869982
15,3.37620903471436e-06,-0.918609486371604,0.954454909289694,-15025.4111581846,30056.8223163692,30077.7839068312
16,6.33904632833063e-06,-1.0671453693962,1.15916297261732,-16411.5275542046,32829.0551084092,32850.0166988712
17,1.07123025261561e-06,-1.07436777224914,1.14927208588228,-16359.7994588622,32725.5989177245,32746.5605081864
18,-2.36950275567055e-06,-0.94330906223243,0.985256859261419,-15249.744648347,30505.489296694,30526.450887156
19,-1.09012966520661e-05,-0.728774321250068,0.77642404780582,-13252.7252196604,26511.4504393209,26532.4120297829
20,-1.03535057277984e-06,-0.907504415201148,0.959131828398737,-14974.7876741172,29955.5753482345,29976.5369386965
21,5.52615406383948e-06,-0.880674689161707,0.925120203950405,-14649.4744912275,29304.948982455,29325.910572917
22,1.09610371525919e-07,-0.844583795796434,0.871458875584717,-14315.0089393902,28636.0178787803,28656.9794692423
23,-7.09246801887855e-06,-0.986762752441777,1.03718605867098,-15594.8290816276,31195.6581632552,31216.6197537172
24,4.33334531395505e-06,-0.875705592421145,0.921245801674066,-14614.245937291,29234.491874582,29255.453465044
25,-2.68112488973545e-06,-0.84835205520506,0.883929170794262,-14441.9033329755,28889.8066659509,28910.7682564129
