stock,mu,w_1,w_2,w_3,w_4,loglik,AIC,BIC
1,-0.046560262846955684,-0.619714010977992,0.8760867507866479,-1.1650065428913243,1.0094209556160454,-18523.288300268898,37056.576600537795,37091.5125846411
2,-0.000150618512950726,-0.37938782565697354,0.49149633263226583,-1.0272868695100552,0.9354017022812738,-16616.411978909873,33242.823957819746,33277.759941923054
3,-0.034236513126830286,-0.4420850679809055,0.6299602421075488,-0.9191233906823694,0.7818194394277223,-16284.120806654582,32578.241613309165,32613.177597412476
4,0.0001971458164717914,-0.5844785354835026,0.7130621697939038,-0.8365962151357635,0.7384061291766222,-16474.379974925076,32958.75994985015,32993.69593395346
5,0.05363982330592932,0.5055487404035977,-0.5184099341422448,-0.6278685738486933,0.6123494248142719,-14579.651525866573,29169.303051733146,29204.239035836457
6,0.00029475535659285123,-0.4781031937308009,0.5141289011032649,-0.78484824332409,0.7715261702353757,-15576.229406303459,31162.458812606917,31197.39479671023
7,-0.1587505504144185,-0.3246153586044287,0.7150750231621948,-0.8915676707000308,0.7152846784331426,-16003.096281290003,32016.192562580007,32051.128546683318
8,0.00019920664720129592,0.7003280127554204,-0.7914872045194926,-0.374560395923645,0.48171299805969403,-14916.864254047745,29843.72850809549,29878.6644921988
9,0.0012993253000573544,-0.5745924176718591,0.8380143688625796,-1.0754126456423097,0.8356712459922887,-17693.75732916432,35397.51465832864,35432.45064243195
10,0.0005146230121238595,0.4768740946492245,-0.3346719706168444,-0.5812734715601806,0.4767899126896627,-13076.01578986516,26162.03157973032,26196.96756383363
11,0.0018623986138804737,-0.4064455640582648,0.4526732299118098,-1.0574806728901098,1.0328852253950358,-16983.065805296512,33976.131610593024,34011.06759469633
12,0.00012387074837214124,0.42998897183582085,-0.3317869388884964,-0.6155535188339225,0.5459528982219785,-13331.340427858775,26672.68085571755,26707.61683982086
13,0.018523705701142076,0.5578100486264608,-0.632341088461832,-0.41610215953943985,0.5099958562499565,-14041.41950359448,28092.83900718896,28127.77499129227
14,0.0004392148699719991,0.5049680088220507,-0.31408457136685974,-0.6721152248108514,0.5081875583653755,-13663.443888912765,27336.88777782553,27371.82376192884
15,0.0649711193299711,0.5552345643686399,-0.698300764359079,0.5855873590703722,-0.4823524506131816,-14789.886035790216,29589.77207158043,29624.708055683743
16,-0.0001796602645666069,-0.48741127964931935,0.6891854591009207,-0.8621599169626112,0.7236828497035043,-16200.662839936786,32411.32567987357,32446.261663976882
17,3.125369020393939e-05,-0.46064343857007284,0.5384065172534013,-0.8841933338040686,0.8529133280060802,-16194.509439953592,32399.018879907184,32433.954864010495
18,-0.000322717440809513,-0.4974153319190559,0.6032269354098463,-0.6820890420368433,0.6081491296616535,-14996.939818554349,30003.879637108697,30038.81562121201
19,0.14245740818782823,0.30714185256125554,-0.4261968176538598,-0.5559711620289999,0.5721505850951626,-13096.69408582071,26203.38817164142,26238.324155744733
20,0.09392464129411364,0.6706303111699843,-0.7159023628473705,-0.4700330179157911,0.45905282762745825,-14835.57437130521,29681.14874261042,29716.084726713732
21,0.21214117335314828,0.7388449274899318,-0.742522528905292,-0.4526076327634429,0.271496005803375,-14585.32300470973,29180.64600941946,29215.58199352277
22,0.00047473686919970604,0.595174409846114,-0.5377227564850976,-0.5346681727148364,0.4905594858789609,-14111.63983122052,28233.27966244104,28268.21564654435
23,-2.194697820959906e-05,-0.514683428832742,0.5984480991219608,-0.7368401614010188,0.6780394787691212,-15455.511659457217,30921.023318914435,30955.959303017746
24,0.00024149854713554793,0.6688256608727982,-0.678838481909005,-0.42174823341293965,0.4620463439138165,-14496.161683895269,29002.323367790537,29037.25935189385
25,0.0005835939944820312,0.5757677139994832,-0.6508712296354211,-0.41433811634669054,0.5116602481550899,-14173.934742377642,28357.869484755283,28392.805468858594
