stock,mu,w_1,w_2,w_3,w_4,w_5,loglik,AIC,BIC
1,0.3962953471084998,-0.43297988392395503,0.7338361951658953,-0.5364273920095878,1.0523443516698507,-1.1619099007687301,-18516.09498529085,37044.1899705817,37086.11315150567
2,0.08124844779332636,-0.2827757287206277,0.5108145541054626,-0.16988052649087734,0.9268445132186335,-1.0470515283970199,-16621.134726549306,33254.26945309861,33296.192634022584
3,0.30250671856978173,0.5118261264162599,-0.35963768528517204,-0.3571410617199149,0.8229798523342208,-0.9049340002574967,-16262.147231463468,32536.294462926937,32578.21764385091
4,0.2535864889858223,-0.38065036500715643,0.7114447460058619,-0.39569569133958393,0.7089683311825655,-0.8675417336347667,-16460.372432205448,32932.744864410895,32974.66804533487
5,0.498171548720671,0.3530280211288023,-0.6068961925080719,0.6367715753360033,-0.3809383003392795,-0.47642967474410747,-14562.00403900471,29136.00807800942,29177.931258933393
6,0.23258219421251491,0.46893524252626423,-0.7936737114731804,0.7811775815824868,-0.33853420857499295,-0.3274711685850339,-15565.009553577647,31142.019107155294,31183.942288079266
7,0.315413169860401,0.4755738359078265,-0.840596821373902,0.8169134735830995,-0.40049362252677356,-0.3173418004219008,-15968.16440659235,31948.3288131847,31990.251994108672
8,0.2749723687556519,0.37834187159126076,-0.7667437006625962,0.7301992945160518,-0.30044077866585134,-0.30025314506355644,-14897.515363014229,29807.030726028457,29848.95390695243
9,0.39158371490236543,-0.4621790413462997,0.7560136956132393,-0.4478570241385438,0.8431107737888631,-1.054890525385486,-17674.763902837156,35361.52780567431,35403.45098659828
10,0.15182676103010478,0.4142371853112703,-0.5924370605948747,0.5207201634092181,-0.22900921025509768,-0.2280301133837241,-13076.381523147795,26164.76304629559,26206.68622721956
11,0.28489437661906725,-0.3151485495198158,0.37969695655234204,-0.3188828789563242,1.0454855577984792,-1.05595302629647,-16983.543500931948,33979.087001863896,34021.01018278787
12,0.23148700269335312,0.3352507996532702,-0.6069058554013402,0.5879957031811024,-0.2594110298219055,-0.2594608955256557,-13321.496707785656,26654.993415571313,26696.916596495284
13,0.30022951082046756,0.3819089274422716,-0.6209739162429477,0.6209037418018563,-0.3231307672893844,-0.32158960011719484,-14026.338299747506,28064.67659949501,28106.599780418983
14,0.21293265723758337,0.39665820785082173,-0.6649343840131433,0.5738181893516461,-0.2492286907305966,-0.24185944392061118,-13655.61430607863,27323.22861215726,27365.151793081233
15,0.6078424180196345,0.2599958830209362,-0.6282932838025411,0.7018320755379776,-0.43777943846319284,-0.47733936451024617,-14819.418096031857,29650.836192063714,29692.759372987686
16,0.15402788970434503,0.675131461631819,-0.3121926646212956,-0.3047970244544598,0.735178276967953,-0.8847856680879134,-16195.231480612478,32402.462961224956,32444.386142148927
17,0.2088848333206496,0.4951187177459669,-0.31926084917307834,-0.3196546263137038,0.87111105718628,-0.8885999716231803,-16186.246514179493,32384.493028358986,32426.416209282957
18,0.1729867118328577,0.5903926379434088,-0.7115458985212679,0.6112402555055803,-0.3099930253900254,-0.3209174490303787,-14985.474052062766,29982.94810412553,30024.871285049503
19,0.3478499030579571,0.2580351467215363,-0.5507350940629245,0.5927307165200015,-0.30738385073357577,-0.29563738311663196,-13090.313134444772,26192.626268889544,26234.549449813516
20,0.5053576985718389,0.26570999566596565,-0.6813567661355179,0.745725416198675,-0.36949257421020865,-0.4244502978747122,-14859.29205111688,29730.58410223376,29772.50728315773
21,0.31828824248012905,0.2894786650482058,-0.7612707441651659,0.7357303038494997,-0.28076274877931,-0.2782488204507992,-14563.094664796849,29138.189329593697,29180.11251051767
22,0.27605567636310757,0.38807945312941794,-0.6165407258473259,0.6267719551372433,-0.33128105804352365,-0.3275379321333779,-14094.749477491288,28201.498954982577,28243.42213590655
23,0.19866296175354556,0.6340418697389971,-0.7560900996806816,0.6285238253807999,-0.34230166408150825,-0.33900614414781727,-15448.346117050012,30908.692234100025,30950.615415023996
24,0.2279652500818976,0.3947502002621483,-0.6814491988891044,0.6943761609845678,-0.3023073827910635,-0.3012854274380511,-14495.984550589277,29003.969101178554,29045.892282102526
25,0.25997775969991604,0.44488437198305086,-0.6368214201077952,0.5896035696735313,-0.3170308239231381,-0.31993951973601004,-14151.17843618165,28314.3568723633,28356.28005328727
