stock,log-likelihood,aic,bic
1,-18756.928662263097,37523.857324526194,37558.7933086295
2,-16708.210246517636,33426.42049303527,33461.35647713858
3,-16265.90881791967,32541.81763583934,32576.75361994265
4,-16469.955592356448,32949.911184712895,32984.8471688162
5,-14564.103860424902,29138.207720849805,29173.143704953116
6,-15594.08383110793,31198.16766221586,31233.10364631917
7,-16057.396117841141,32124.792235682282,32159.728219785593
8,-14921.389411418117,29852.778822836233,29887.714806939544
9,-17695.10993469598,35400.21986939196,35435.15585349527
10,-13151.943696320779,26313.887392641558,26348.82337674487
11,-17084.56953196786,34179.13906393572,34214.07504803903
12,-13352.986660847957,26715.973321695914,26750.909305799225
13,-14059.34665149956,28128.69330299912,28163.62928710243
14,-13682.437604934235,27374.87520986847,27409.811193971782
15,-14803.346604146202,29616.693208292403,29651.629192395714
16,-16262.699643964525,32535.39928792905,32570.33527203236
17,-16233.126729139187,32476.253458278374,32511.189442381685
18,-15011.411774272427,30032.823548544853,30067.759532648164
19,-13217.272579248176,26444.545158496352,26479.481142599663
20,-15070.010477478252,30150.020954956504,30184.956939059815
21,-14631.462687340492,29272.925374680985,29307.861358784296
22,-14127.18785009093,28264.37570018186,28299.31168428517
23,-15473.022329732261,30956.044659464522,30990.980643567833
24,-14517.419084243975,29044.83816848795,29079.77415259126
25,-14151.207686581554,28312.41537316311,28347.35135726642
