stock,pi1,pi2,pi3,mu1,mu2,mu3,sigma1,sigma2,sigma3
1,0.6599936361752977,0.003440841921741217,0.33656552190296113,0.09132952698352999,-8.626583175006862,0.01359381286670438,1.5414482719427647,28.12948567158869,3.789300971373337
2,0.04951400335861627,0.5316352438295268,0.41885075281185685,-0.31999391713953335,0.09355691533920936,-0.035094235832540434,6.2826797167239405,0.9875669894583501,2.4301382053173923
3,0.2875564552020216,0.019876685675288004,0.6925668591226903,-0.05772316184335437,-0.8151801147845764,0.0697952915428544,2.688618882046743,8.284983926392949,1.2124008939427908
4,0.6896109097680055,0.15260246141104283,0.1577866288209516,0.07380902235274911,0.04321898099351285,-0.17461455181935662,1.620389183966131,0.7008971622737528,3.7603844915291016
5,0.0094396002956815,0.7262792159962483,0.26428118370807024,-0.8912419890536324,0.07420670649896885,-0.08324455890036754,8.303461287608094,1.0633801181292863,2.1903540683710836
6,0.374999362309742,0.07758955726849959,0.5474110804217583,0.03753095993821997,-0.05288367846174598,0.023327657638465466,1.9715288025980369,4.44069965826492,0.9995704140740798
7,0.44568494190171626,0.5267336564108962,0.02758140168738765,0.03971967594765976,0.08496554837985305,-0.43407636783115516,2.291199545925054,0.9842988142212831,6.541157127986318
8,0.09603358319960058,0.23584100115075918,0.6681254156496402,-0.21814752344757382,0.07730570289277486,0.027904120452299862,4.038140311241653,0.619244376308707,1.444175824035603
9,0.6827284327171372,0.06392614967094867,0.2533454176119141,0.049778424651478075,-0.6914144909478646,0.14070832980174974,2.1776095791270715,6.082837763748705,0.9540648446668868
10,0.034973166100777484,0.5866233858510682,0.37840344804815434,-0.19695798038309664,0.039598712526389794,0.05756432618508298,3.623418696841062,0.7285878332379602,1.680421676993156
11,0.4160446099894123,0.5119332157493803,0.07202217426120734,0.06516483704867425,-0.027463889275660774,0.10822946684195871,0.8935068571896326,2.213187612679156,6.1999891785249455
12,0.2831130110818752,0.6465305027937835,0.0703564861243413,0.0053489691899776745,0.048624819476083464,-0.057033511612282116,1.6958761232627952,0.79887228656004,3.305600551447993
13,0.09454273831486949,0.6235237026666313,0.2819335590184992,0.06680718134746252,-0.005033372711830384,0.12256634712049704,3.390241483200168,1.3472315396999044,0.653441846462695
14,0.1848266592707292,0.1297553340646186,0.6854180066646522,-0.13529144554432262,0.033055254755353404,0.07034852781059726,2.7291526719443726,0.38527626176938307,1.062286457961241
15,0.8591885820737727,0.11878995804151313,0.02202145988471423,0.0628337388942257,-0.2758969071342864,7.140050396740422e-12,1.2336036896197848,3.680297513880789,0.0010000000240242212
16,0.05886229315115795,0.48736775221937867,0.4537699546294634,-0.26658257048645234,0.11363583137336539,0.05007076332912219,4.876617504833142,2.131304136685182,0.9440100342662413
17,0.5891622482492855,0.3322329654005971,0.07860478635011733,0.040037216432991254,0.06109373531288409,0.04972495205330136,1.870595248580442,0.7937034051718386,4.959183932421329
18,0.6313758049328505,0.08909631375766026,0.2795278813094893,-0.02674937445153483,-0.689718230051053,0.3937984217657435,1.015629007567262,3.2871504124188635,2.014344016878545
19,0.6478535337387121,0.012122556272768559,0.34002390998851934,0.03512981244608494,-1.631262500780382,0.09063625503289,0.7726078556287972,6.806936038072513,1.8149674786689234
20,0.31956809879308157,0.0040008591093645155,0.6764310420975539,-0.005838422760557393,-4.95185358721646,0.06497895125098378,2.434497934769558,17.34921417235081,0.9781308450940414
21,0.5543645810171279,0.0446367828160524,0.40099863616681974,0.06391975898188715,-0.27495852196543447,0.004385578430591681,0.8220707275924367,5.362820160298468,1.870875666655432
22,0.4931410373537841,0.07962106368442917,0.42723789896178677,0.036058914842781585,-0.11059223243004533,0.015360389228324521,1.5467742355310115,3.3783294317426598,0.7448372420750536
23,0.09784170393184176,0.5451850857778177,0.35697321029034046,-0.13569544757711044,0.07798929443283532,-0.01378553242673247,3.8928544792945674,1.6822485130167002,0.8569143543365391
24,0.33871712998232656,0.08478475237900564,0.5764981176386679,0.009791370639018812,0.0840105447301719,0.03704441791608688,0.682041309836385,3.6907051660996344,1.5135790387995487
25,0.029599965571493983,0.3422006615886493,0.6281993728398566,-0.19855115313888042,-0.047419473142935965,0.06859207285062557,4.766955490107083,1.8583740245494136,0.9312278941990275
