stock,pi1,pi2,pi3,mu1,mu2,mu3,sigma1,sigma2,sigma3
1,0.22939512933867207,0.0021183628043833103,0.7684865078569446,-0.03697459563875405,-12.42667410529231,0.09105612387001084,4.325257886120132,34.187144339228865,1.7239563354349432
2,0.04951400335861627,0.5316352438295268,0.41885075281185685,-0.31999391713953335,0.09355691533920936,-0.035094235832540434,6.2826797167239405,0.9875669894583501,2.4301382053173923
3,0.2875564552020216,0.019876685675288004,0.6925668591226903,-0.05772316184335437,-0.8151801147845764,0.0697952915428544,2.688618882046743,8.284983926392949,1.2124008939427908
4,0.7651759268104276,0.12181223150684416,0.11301184168272828,0.0699321701244587,0.048704326317868876,-0.2610364264842957,1.6596141446657662,0.6579290192918871,4.157816894429397
5,0.0094396002956815,0.7262792159962483,0.26428118370807024,-0.8912419890536324,0.07420670649896885,-0.08324455890036754,8.303461287608094,1.0633801181292863,2.1903540683710836
6,0.5147310113395434,0.3985298054028941,0.08673918325756247,0.03237010089611608,0.01658467977864924,-0.006118352048460421,0.9759551457372528,1.895925183061369,4.311201806006143
7,0.44568494190171626,0.5267336564108962,0.02758140168738765,0.03971967594765976,0.08496554837985305,-0.43407636783115516,2.291199545925054,0.9842988142212831,6.541157127986318
8,0.14370667322103894,0.2351721500771139,0.6211211767018472,-0.1882435173350066,-0.009488115933360726,0.07278613264092233,3.5555435859639815,0.6520072268594113,1.3495769150759154
9,0.6827284327171372,0.06392614967094867,0.2533454176119141,0.049778424651478075,-0.6914144909478646,0.14070832980174974,2.1776095791270715,6.082837763748705,0.9540648446668868
10,0.12992788417900128,0.16890843401068778,0.701163681810311,-0.06233966704089312,0.004268778549944024,0.0648956237854791,2.7023283368093267,0.3882117351448603,1.1106519235066221
11,0.4160446099894123,0.5119332157493803,0.07202217426120734,0.06516483704867425,-0.027463889275660774,0.10822946684195871,0.8935068571896326,2.213187612679156,6.1999891785249455
12,0.26409461058100503,0.05535560747989066,0.6805497819391044,0.08268477266359517,-0.2820267612598799,0.033376359451841225,1.8006459886615829,3.486187825022066,0.8233819714716728
13,0.09454273831486949,0.6235237026666313,0.2819335590184992,0.06680718134746252,-0.005033372711830384,0.12256634712049704,3.390241483200168,1.3472315396999044,0.653441846462695
14,0.11570949814068648,0.1900120376298413,0.6942784642294723,0.029613045257535574,-0.1297234767770076,0.07017974987741371,0.36148375259530274,2.708089738728267,1.0469074236863594
15,0.8591885820737727,0.11878995804151313,0.02202145988471423,0.0628337388942257,-0.2758969071342864,7.140050396740422e-12,1.2336036896197848,3.680297513880789,0.0010000000240242212
16,0.05886229315115795,0.48736775221937867,0.4537699546294634,-0.26658257048645234,0.11363583137336539,0.05007076332912219,4.876617504833142,2.131304136685182,0.9440100342662413
17,0.5891622482492855,0.3322329654005971,0.07860478635011733,0.040037216432991254,0.06109373531288409,0.04972495205330136,1.870595248580442,0.7937034051718386,4.959183932421329
18,0.17444812375415908,0.3362961253203093,0.48925575092553164,-0.24232791569903553,0.2927165153573392,-0.049929716338269994,2.9073696229296133,1.6592075548649088,0.8970554067578043
19,0.4239249180041808,0.5507699287565127,0.025305153239306575,0.01774779171447671,0.08254905376735086,-0.7582199536127022,0.6114478181205328,1.4703747403506933,5.395407397942553
20,0.5814949098877297,0.006197094424366078,0.41230799568790416,0.05842867977886388,-3.5336448641735894,0.02473560693502426,0.8848257298926904,14.539602621758847,2.203234577369286
21,0.5289359782356388,0.42260048954552354,0.04846353221883775,0.06621818588785044,0.005442477368851474,-0.2559651848362199,0.8032912221440879,1.815458825289508,5.234572911948286
22,0.4931410373537841,0.07962106368442917,0.42723789896178677,0.036058914842781585,-0.11059223243004533,0.015360389228324521,1.5467742355310115,3.3783294317426598,0.7448372420750536
23,0.09784170393184176,0.5451850857778177,0.35697321029034046,-0.13569544757711044,0.07798929443283532,-0.01378553242673247,3.8928544792945674,1.6822485130167002,0.8569143543365391
24,0.33871712998232656,0.08478475237900564,0.5764981176386679,0.009791370639018812,0.0840105447301719,0.03704441791608688,0.682041309836385,3.6907051660996344,1.5135790387995487
25,0.5157206349488731,0.06269378235625397,0.4215855826948729,0.02603936024446121,-0.26284753501725977,0.0570116401240158,1.520467578828088,3.856216603874513,0.8054504122550518
