stock,log-likelihood,aic,bic
1,-18535.880136843327,37087.760273686654,37143.65784825195
2,-16586.670904089606,33189.34180817921,33245.239382744505
3,-16176.480734070623,32368.961468141246,32424.859042706543
4,-16445.740249292987,32907.480498585974,32963.37807315127
5,-14455.527982872984,28927.055965745967,28982.953540311264
6,-15541.813835166287,31099.627670332575,31155.52524489787
7,-15955.525913534751,31927.051827069503,31982.9494016348
8,-14883.413289821681,29782.826579643362,29838.72415420866
9,-17654.45307143646,35324.90614287292,35380.80371743821
10,-13099.403942209012,26214.807884418024,26270.70545898332
11,-16956.519473542357,33929.038947084715,33984.93652165001
12,-13309.28454280875,26634.5690856175,26690.466660182796
13,-14012.643946025497,28041.287892050994,28097.18546661629
14,-13647.552981382687,27311.105962765374,27367.00353733067
15,-14357.69068092465,28731.3813618493,28787.278936414597
16,-16186.846175148745,32389.69235029749,32445.589924862787
17,-16162.156705337644,32340.313410675288,32396.210985240585
18,-14985.348610270252,29986.697220540504,30042.5947951058
19,-13073.689067466657,26163.378134933315,26219.275709498612
20,-14824.816254269776,29665.63250853955,29721.530083104848
21,-14525.377198455226,29066.75439691045,29122.65197147575
22,-14079.817206586305,28175.63441317261,28231.531987737908
23,-15432.793575747837,30881.587151495674,30937.48472606097
24,-14474.895264596536,28965.790529193073,29021.68810375837
25,-14098.155728710943,28212.311457421885,28268.209031987182
